Y:\Meghan's Experiments\AMBVAR\b_tap.emrg																															
ExperimentName	Subject	Session	Clock.Information	Clock.StartTimeOfDay	Clock.SystemTimeDrift	Clock.SystemTimeDriftWarning	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	SessionTimeUtc	Block	BlockA	BlockA.Cycle	BlockA.Sample	correct	Procedure	Running	SEEaWORD.ACC	SEEaWORD.CRESP	SEEaWORD.DurationError	SEEaWORD.OnsetDelay	SEEaWORD.OnsetTime	SEEaWORD.RESP	SEEaWORD.RT	SEEaWORD.RTTime	sound	tap_cas	type	word
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	1	58	1	1	1	BlockAProc	BlockA	0	1	-999999	1	62220	5	2991	65211	classroom.wav		filler	snutch
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	2	46	1	2	5	BlockAProc	BlockA	1	5	-999999	1	67420	5	725	68145	salon.wav		filler	elephant
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	3	6	1	3	5	BlockAProc	BlockA	1	5	-999999	1	70320	5	556	70876	padding.wav	tap	t-related	dog
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	4	12	1	4	5	BlockAProc	BlockA	1	5	-999999	1	73070	5	410	73480	trader.wav	tap	d-related	stocks
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	5	65	1	5	1	BlockAProc	BlockA	1	1	-999999	1	75653	1	612	76265	darken.wav		filler	shunce
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	6	66	1	6	1	BlockAProc	BlockA	1	1	-999999	1	78470	1	685	79155	jelly.wav		filler	cardoon
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	7	49	1	7	1	BlockAProc	BlockA	1	1	-999999	1	81353	1	484	81837	razor.wav		filler	umbler
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	8	11	1	8	5	BlockAProc	BlockA	0	5	0	1	84020		0	0	shudder.wav	tap	d-related	shiver
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	9	9	1	9	5	BlockAProc	BlockA	0	5	0	1	89203		0	0	pudding.wav	tap	d-related	chocolate
b_tap3	12	12	"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">1862030000</Frequency><Timestamp dt:dt=""r8"">2.96484267276E+15</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2009-05-05T20:26:58Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n"	5/5/2009 13:26			60.001	1	1333267827	5/5/2009	13:26:58	8:26:58 PM	10	74	1	10	1	BlockAProc	BlockA	0	1	0	1	94403		0	0	clingy.wav		filler	shockel
